Fecha,Empresa,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo,Volumen,Ingresos_Millones,Ganancia_Millones,Sentimiento_Reporte,Tendencia
2026-01-01,TechCorp,137.45,132.86,140.84,132.13,202424,103.94,19.0,Neutral,Baja
2026-01-02,TechCorp,195.07,198.34,199.22,192.18,236141,142.51,26.24,Neutral,Alza
2026-01-03,TechCorp,173.2,172.29,174.43,169.36,161888,78.9,18.27,Positivo,Baja
2026-01-04,TechCorp,159.87,161.48,166.02,156.5,160448,109.41,17.56,Positivo,Alza
2026-01-05,TechCorp,115.6,122.4,125.63,111.83,64397,70.91,8.52,Positivo,Alza
2026-01-06,TechCorp,115.6,113.84,116.14,108.95,222627,107.49,11.21,Positivo,Baja
2026-01-07,TechCorp,105.81,106.14,107.1,102.99,228031,74.5,15.89,Neutral,Alza
2026-01-08,TechCorp,186.62,191.44,194.93,184.67,181800,79.51,15.35,Neutral,Alza
2026-01-09,TechCorp,160.11,158.08,160.63,154.0,231589,79.4,16.33,Positivo,Baja
2026-01-10,TechCorp,170.81,166.81,172.03,165.09,169180,121.94,16.09,Negativo,Baja
2026-01-11,TechCorp,102.06,100.83,105.03,98.35,116234,129.68,15.62,Neutral,Baja
2026-01-12,TechCorp,196.99,194.09,200.6,193.24,89954,116.67,11.92,Positivo,Baja
2026-01-13,TechCorp,183.24,190.33,193.76,182.63,228352,146.97,22.43,Positivo,Alza
2026-01-14,TechCorp,121.23,126.74,128.25,116.4,129459,99.99,18.85,Positivo,Alza
2026-01-15,TechCorp,118.18,121.41,125.11,113.92,197851,92.86,14.75,Positivo,Alza
2026-01-16,TechCorp,118.34,124.67,126.24,114.71,245004,139.49,23.1,Positivo,Alza
2026-01-17,TechCorp,130.42,135.87,137.83,128.08,254008,87.89,20.71,Positivo,Alza
2026-01-18,TechCorp,152.48,149.91,156.34,148.63,205538,147.06,22.39,Positivo,Baja
2026-01-19,TechCorp,143.19,149.79,153.21,141.99,218011,70.97,12.57,Positivo,Alza
2026-01-20,TechCorp,129.12,131.13,135.45,127.49,250968,147.59,32.11,Negativo,Alza
2026-01-21,TechCorp,161.19,166.69,170.15,158.22,216342,73.45,11.71,Positivo,Alza
2026-01-22,TechCorp,113.95,120.6,123.66,110.23,109163,141.29,27.31,Positivo,Alza
2026-01-23,TechCorp,129.21,128.34,130.13,124.87,263709,112.22,25.74,Positivo,Baja
2026-01-24,TechCorp,136.64,133.07,138.79,131.31,101934,149.44,36.23,Negativo,Baja
2026-01-25,TechCorp,145.61,143.57,147.3,138.77,245967,75.9,9.26,Positivo,Baja
2026-01-26,TechCorp,178.52,179.07,180.67,174.7,213379,114.31,27.32,Positivo,Alza
2026-01-27,TechCorp,119.97,125.6,130.48,116.98,104098,147.54,25.65,Negativo,Alza
2026-01-28,TechCorp,151.42,157.61,159.88,148.17,241993,111.85,15.52,Negativo,Alza
2026-01-29,TechCorp,159.24,154.33,163.75,151.94,55486,120.35,20.32,Neutral,Baja
2026-01-30,TechCorp,104.65,106.29,109.63,103.04,189407,125.66,31.04,Positivo,Alza
2026-01-31,TechCorp,160.75,161.18,165.26,158.65,136900,106.36,18.5,Positivo,Alza
2026-02-01,TechCorp,117.05,114.94,119.81,111.03,176020,120.2,17.95,Neutral,Baja
2026-02-02,TechCorp,106.51,103.07,109.61,102.51,152795,116.75,22.77,Negativo,Baja
2026-02-03,TechCorp,194.89,194.28,197.61,193.26,270184,142.09,19.33,Neutral,Baja
2026-02-04,TechCorp,196.56,203.82,205.2,195.85,278275,73.64,8.2,Neutral,Alza
2026-02-05,TechCorp,180.84,180.04,184.59,179.36,192202,92.48,11.04,Positivo,Baja
2026-02-06,TechCorp,130.46,132.2,133.96,126.11,137508,146.03,17.41,Neutral,Alza
2026-02-07,TechCorp,109.77,113.91,114.52,106.1,287027,141.22,17.34,Positivo,Alza
2026-02-08,TechCorp,168.42,168.15,171.82,165.52,168324,106.45,12.86,Positivo,Baja
2026-02-09,TechCorp,144.02,151.65,152.95,143.08,110566,119.61,23.46,Positivo,Alza
2026-02-10,TechCorp,112.2,119.71,124.44,109.49,247775,92.19,11.73,Positivo,Alza
2026-02-11,TechCorp,149.52,147.79,154.31,145.16,77192,85.05,12.91,Positivo,Baja
2026-02-12,TechCorp,103.44,104.9,109.52,102.16,51062,107.1,25.12,Positivo,Alza
2026-02-13,TechCorp,190.93,189.84,193.1,187.39,134076,98.27,16.81,Neutral,Baja
2026-02-14,TechCorp,125.88,124.58,126.45,122.29,139780,116.69,23.35,Positivo,Baja
